config1;config2;config3;config4;config5;config6;config7;config8;config9;config10;config11;config12;config13;config14;config15;config16;config17;config18;config19;config20;config21;config22;config23;config24;config25;config26;config27;config28;config29;config30;config31;config32
-4.072478534185717;-4.0456070501366685;-4.089633608988293;-4.043132934286667;-3.994464196396693;-4.122741497796467;-4.137517580545254;-4.152992926567005;-4.060892958438573;-4.006705836568171;-4.078748828455163;-4.099212321777281;-4.099377754692163;-4.073462981654301;-4.10972001050721;-4.097318890335251;-4.075260216566216;-3.9693348568459665;-4.076590164808459;-4.118048040789987;-4.118460026158212;-4.069149338080213;-4.098906774430458;-4.104891202660432;-3.9250417563894255;-4.082892406233722;-4.114190739243218;-4.108202757828439;-4.050194814188492;-4.0411763806111045;-4.082882000601237;-4.081798473397642
-4.143333445230602;-4.107063969875407;-4.018717232052113;-4.06970863328574;-4.1433866931227525;-4.070674125855119;-4.152456570012361;-4.144008099898531;-4.02101845733584;-4.081652839076957;-3.917785194059613;-4.105015085505925;-4.063682318194858;-4.121229540736833;-4.073029103635066;-4.123589992203628;-3.9300845803867457;-4.045754169088406;-4.126702407744355;-4.028030591399419;-4.0063335293772715;-4.066406941277594;-4.116912493439722;-4.153542310489327;-3.9775505080134144;-4.000757210106167;-4.02394201691756;-4.090803052783687;-4.027340411645415;-4.109211189694338;-4.134839730807406;-4.091994369135958
-4.054849340255748;-4.052739096737701;-4.065562786775497;-4.091173091914236;-4.099580021555655;-4.12317269500361;-4.125471481963744;-4.0980845771067695;-3.998652210125822;-3.9943015864417255;-4.016970007060574;-4.04580733626695;-4.039898848074713;-4.118713349176933;-4.121276421468383;-4.124876783414696;-3.978172518654957;-4.094936143177301;-4.027503073898742;-4.064986386899697;-3.9372896525147603;-4.073140625385322;-4.146751701486031;-4.128957652943536;-4.134935050163661;-4.097071389095499;-4.112398924611883;-4.066691111291425;-4.039026888963879;-4.148352291524479;-4.077242404448409;-4.14965965768505
-4.017395286296081;-4.075103687962142;-4.040847144416902;-4.092940952574433;-4.041829783805008;-4.107865821123879;-4.082216804994837;-4.09805051517847;-4.035618879826822;-4.108808053477742;-4.104646718696202;-4.090598686194539;-4.008356961176585;-4.126137734696417;-4.114344584649321;-4.109430161810729;-3.93836880790159;-4.056168177224354;-4.090216949190553;-4.087621178470042;-4.034542157119816;-4.067532458390564;-4.042048361705894;-4.117678305626452;-3.951718963316872;-4.030717371009753;-4.112983434959977;-4.04142598427226;-4.096944725946023;-4.095386999509422;-4.137366471666955;-4.138467755616192
-4.055634544589657;-4.092484034199908;-4.071169848598269;-4.043316028530869;-3.9854211386673017;-4.097755702946713;-4.119452046783691;-4.1205567306622894;-4.0694872746857875;-4.067893429826625;-4.072549231675264;-4.1241829686738365;-4.067861408230752;-4.097969959095965;-4.090209475045899;-4.141550032904546;-3.8480971175602985;-4.074234455902598;-4.1007002429691335;-4.049524365219192;-4.042693911022665;-4.118497785741397;-4.049445612989522;-4.149912166480252;-4.054987948275163;-3.956079941148254;-3.9930393617300886;-4.0514693430892885;-4.068531777127908;-4.09807684624144;-4.088420289114092;-4.104413900806127
-4.073321381301244;-4.099973698706384;-4.032712413388838;-4.047702221133198;-3.97530718691049;-4.017264709738926;-4.109038131023038;-4.154165842787616;-4.009727299198223;-4.096726497796806;-4.039581535856104;-4.063687278118703;-4.034397946196919;-4.085412502080162;-4.125426972324133;-4.116957876825506;-4.061136553589202;-4.033375427942254;-4.096206321231231;-4.075376725575001;-4.0187643995191324;-4.107121376091135;-4.1170885025196355;-4.124122687468285;-4.079653533333845;-4.0720321092942;-4.07319477331028;-4.0453164689011;-4.036661873449379;-4.10709579345529;-4.1153183070872;-4.131879001700887
-3.9956904707156506;-4.036553882951664;-4.142225468641232;-4.11812105215322;-4.030733253070586;-4.08011026408123;-4.052690649116482;-4.151789138754552;-4.0476743831885535;-4.073119803851472;-4.0068102884656;-4.030493586062292;-4.104462968873409;-4.12067205305675;-4.062225553073457;-4.124171632538862;-3.9262963542373757;-4.078945769324854;-4.074670343394659;-4.0308033767432985;-4.028375674250684;-4.100360655298133;-4.155112966015915;-4.125133096488155;-4.084946439875284;-4.014755196380305;-4.022060815896158;-4.02768747781413;-4.000835846427116;-4.06817115651747;-4.080205426177068;-4.143755661710096
-4.052264391378496;-4.0478417811226075;-4.024023834398938;-4.075719440840707;-4.149725328148986;-4.140581441837734;-4.154635957640193;-4.147726096867683;-4.0224744252760045;-4.034771850600863;-4.0586814889342;-4.075853788374171;-4.0813443016230995;-4.110252644901182;-4.1045654430314835;-4.1195053468899365;-4.093155350861437;-4.007749145704825;-4.0130143694569345;-4.053407963167935;-4.043112027559923;-4.043206485953363;-4.09026955472525;-4.1206737332984105;-3.9611758852876786;-4.055658783959141;-4.031723288121625;-4.123987314700938;-3.911872279326103;-4.133110755632683;-4.146251098592369;-4.119009733813718
-4.07284940276482;-4.113075059441843;-3.9855235869546055;-4.100760213757287;-3.9744608506138523;-4.053799400281399;-4.108628996767592;-4.129077964605932;-3.983222195666563;-4.099642881879082;-4.100223039373684;-4.06466000212716;-4.057819565068718;-4.137566342914411;-4.02097386996355;-4.136933978422971;-4.044173605687176;-4.0365867034666545;-4.069871964427664;-4.082699345611439;-4.030832621164411;-4.073760493343844;-4.117104999495002;-4.125815495239794;-3.920784788340306;-3.989901515735442;-3.932946747938566;-4.014915849472601;-4.087796944197975;-4.120266916701325;-4.132436500441714;-4.0948633621875015
-4.06272315158375;-4.082652185379713;-4.070767444735768;-4.042780155761229;-3.9969267534686597;-4.073801509482797;-4.140782322273082;-4.116222959998768;-4.008331285887292;-4.06230515455495;-4.089992455243428;-4.1073533719857185;-4.091548089540118;-4.154672445108431;-4.1035757704993605;-4.137445511449666;-3.957515810150172;-4.111842472979702;-4.097076066388517;-4.091681495441087;-4.102497527619112;-4.079175776300625;-4.030138938387915;-4.076843435375047;-3.927143622169732;-4.095206436281649;-4.1165758548147515;-4.114654028136729;-4.09871528206782;-4.073390283641326;-4.100952733683911;-4.093909255560457
